tablename;table_translated;attnum;field;comment;field_translated;comment_translated
engin_type;engine_type;2;engin_type_libelle;;engine_type_name;
espece;species;1;espece_id;Identifiant de l'espèce;species_id;Identifier of the species
espece;species;2;espece_libelle;Nom complet de l'espèce.;species_name;Name of the spieces
estuaire_area;estuary_area;1;id_0;;;
estuaire_area;estuary_area;2;geom;;;
estuaire_area;estuary_area;3;id;;;
estuaire_area;estuary_area;4;name;;;
evenement;event;1;evenement_id;;event_id;
evenement;event;2;declaration_id;;;
evenement;event;3;evenement_type_id;;event_type_id;
evenement;event;4;evenement_date;;event_date;
evenement;event;5;evenement_commentaire;Commentaire général sur l'événement;event_remarks;Remarks on the event
evenement;event;6;login;Login de la personne ayant créé l'événement;;Login of the person who created the event
evenement_type;event_type;1;evenement_type_id;;event_type_id;
evenement_type;event_type;2;evenement_type_libelle;;event_type_name;
individu;fish;1;individu_id;;fish_id;
individu;fish;2;declaration_id;Identifiant de la capture.;;Identifier of the declaration
individu;fish;3;espece_id;;species_id;
individu;fish;4;presence_marque_id;;presence_mark_d;
individu;fish;5;capture_etat_id;;catch_state_id;
individu;fish;6;devenir_id;;become_id;
individu;fish;7;masse;Masse du poisson capturé, en grammes;weight;weitgh of the fish caught, in grams
individu;fish;8;manipulation;Manipulation post-capture;handling;Post-capture handling
individu;fish;9;numero_marque;;mark_number;
individu;fish;10;longueur_individu;;fish_length;Length of the fish, in mm
individu;fish;11;cohorte_estimee;Cohorte estimée (année de naissance);estimated_cohort;Estimated cohort (year of birth)
individu;fish;12;cohorte_validee;Cohorte validée par expertise (année de naissance);validated_cohort;Validated cohort by expert opinion (year of birth)
individu;fish;13;historique;Historique du poisson;background;Background of the fish
individu;fish;14;commentaire;Commentaire général sur le poisson (état général, etc.);remarks;General remarks on the fish (general state, etc.)
individu;fish;15;qualite_identification;"0 : identification incertaine
1 : identification sûre";identification_quality;"0: species identification uncertain
1: identification certain"
localisation;location;1;declaration_id;;;
localisation;location;2;pays_id;;country_id;
localisation;location;3;ciem_id;;ices_id;
localisation;location;4;region_id;;;
localisation;location;5;milieu_id;;environment_id;
localisation;location;7;zone_detail;Détail de la zone de pêche;area_detail;
localisation;location;8;longitude_gps;Longitude au format degré, minute, seconde;;Longitude in degree, minute, second
localisation;location;9;latitude_gps;Latitude au format degré, minute, seconde;;Latitude in degree, minute, second
localisation;location;10;longitude_declaree_dd;Longitude déclarée, au format décimal;longitude_declared_dd;Declared longitude, in decimal format
localisation;location;11;latitude_declaree_dd;Latitude déclarée, au format décimal;latitude_declared_dd;Declared latitude, in decimal format
localisation;location;12;longitude_estimee_dd;Longitude estimée, au format décimal;longitude_estimated_dd;Estimated longitude, in decimal format
localisation;location;13;latitude_estimee_dd;Latitude estimée, au format décimal;latitude_estimated_dd;Estimated latitude, in decimal format
localisation;location;14;longitude_dd;Longitude utilisée, au format décimal;;Used longitude, in decimal format
localisation;location;15;latitude_dd;Latitude utilisée, au format décimal;;used latitude, in decimal format
localisation;location;16;geom;;;
localisation;location;17;precision_id;;;
milieu;environment;1;milieu_id;Identifiant du milieu;environment_id;Identifier of the environment
milieu;environment;2;milieu_libelle;Nom du milieu;environment_name;Name of the environment
milieu_detail;environment_detail;1;milieu_detail_id;;environment_detail_id;
milieu_detail;environment_detail;2;milieu_detail_libelle;;environment_detail_name;
mime_type;;1;mime_type_id;;;
mime_type;;2;content_type;type mime officiel;;Official mime type
mime_type;;3;extension;Extension du fichier correspondant;;File extension
pays;country;1;pays_id;Identifiant du pays;country_id;Identifier of the country
pays;country;2;pays_libelle;;country_name;
pays;country;3;pays_order;;country_order;
precision;accuracy;1;precision_id;;accuracy_id;
precision;accuracy;2;precision_name;;accuracy_name;
presence_marque;mark_presence;1;presence_marque_id;;mark_presence_id;
presence_marque;mark_presence;2;presence_marque_libelle;;mark_presence_name;
region;region;1;region_id;Identifiant de la région;;Identifier of the region
region;region;2;region_libelle;;region_name;
request;;1;request_id;;;
request;;2;create_date;Date of create of the request;;
request;;3;last_exec;Date of the last execution;;
request;;4;title;Title of the request;;
request;;5;body;Body of the request. Don't begin it by SELECT, which will be added automatically;;Body of the request
request;;6;login;Login of the creator of the request;;
request;;7;datefields;List of the date fields used in the request, separated by a comma, for format it;;
statut;status;1;statut_id;;status_id;
statut;status;2;statut_libelle;;status_name;
